Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"6-5805, rue du Champagnier",489 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,958 pi² (89 m²),,,,,
"2476, rue des Salicaires",599 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,2,1,2,,,,,,
"17340, rue du Corail",1 149 000 $,Mirabel (Mirabel en Haut),Laurentides,4,2,1,1,1 746 pi² (162.21 m²),16 145.87 pi² (1 500 m²),,,,
208-367 rue des Pins,387 900 $,Le Plateau-Mont-Royal,Montréal / l'Île,1,1,,1,,,,,,
"3654, route de l'Aéroport",326 900 $,Val-Bélair,Québec Rive-Nord,4,2,1,2,1 152 pi² (107.02 m²),4 500 pi² (418.06 m²),,,,
"1132, chemin du Massif",1 390 737 $,Piedmont,Laurentides,2,2,1,2,2 056 pi² (191.01 m²),65 122 pi² (6 050.03 m²),,,,
rue Gisèle-Trudeau,338 047 $,Sherbrooke (Brompton),Estrie,2,1,,1,960 pi² (89.19 m²),,,,,
Rue de l'Amiral,"717 900,90 $",Sherbrooke (Fleurimont),Estrie,2,1,,1,1 538 pi² (142.88 m²),9 890.96 pi² (918.9 m²),,,,
avenue des Érables,"566 980,82 $",Coaticook,Estrie,4,2,,1,1 140 pi² (105.91 m²),8 544.39 pi² (793.8 m²),,,,
rue Gisèle-Trudeau,"315 627,74 $",Sherbrooke (Brompton),Estrie,1,1,,1,872 pi² (81.01 m²),,,,,
"35, rue du rivage","1 354 206,60 $",Gatineau (Hull),Outaouais,3,2,1,2,2 831 pi² (263.01 m²),35x200 pi (10.67x60.96 m),,,,
"27, rue du Rivage","1 396 719,75 $",Gatineau (Hull),Outaouais,3,2,1,2,3 183 pi² (295.71 m²),35x200 pi (10.67x60.96 m),,,,
"271, rue du Domaine-Thériault",369 000 $,St-Côme,Lanaudière,4,1,,1,1 044 pi² (96.99 m²),17 724.92 pi² (1 646.7 m²),,,,
,779 000 $Prix de vente fourni par le vendeur à DuProprio.,Lebourgneuf,Québec Rive-Nord,4,1,2,2,1 722.23 pi² (160 m²),7 184.91 pi² (667.5 m²),,,,
"170, chemin du Lac-Long",399 000 $,St-Côme,Lanaudière,1,1,,2,,,,,,
"6737, 23e Avenue",425 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,1,892 pi² (82.87 m²),"3,075 pi² (285.68 m²)","2 083,52 $","240,54 $","1 300,00 $",
"8-8025, rue de Londres",445 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,2,1 090.38 pi² (101.3 m²),,"2 100,00 $","280,00 $","1 100,00 $",
"115, rue du Mont-Cervin",339 000 $,Beauport,Québec Rive-Nord,4,2,1,2,1 174 pi² (109.07 m²),2 007.5 pi² (186.5 m²),"2 521,46 $","212,65 $","1 513,00 $","682,00 $"
"103, chemin des Affluents",359 000 $,Stoneham,Québec Rive-Nord,3,1,1,2,1 230 pi² (114.27 m²),,,,,
"3690-3692-3694-3696-3698-3700, rue Joseph",1 349 000 $,Verdun,Montréal / l'Île,2,1,,,,2 438.03 pi² (226.5 m²),"6 472,00 $","786,00 $",,
"1, rue du Boisé",510 900 $,St-Augustin-De-Desmaures,Québec Rive-Nord,4,2,1,2,1 540 pi² (143.07 m²),8 941 pi² (830.65 m²),,,,
", chemin du Mont-Jasper",525 000 $,St-Donat,Lanaudière,,,,,,160 000 pi² (14 864.49 m²),,,,
"935-939, Rue Saint-Roch",294 900 $,St-Jude,Montérégie (Rive-Sud Montréal),3,2,,1,864 pi² (80.27 m²),4 144 pi² (384.99 m²),,,,
"555, rue George-Muir",289 500 $,Charlesbourg (ND-Des-Laurentides),Québec Rive-Nord,4,1,1,2,1 152 pi² (107.02 m²),11 426.97 pi² (1 061.6 m²),"2 248,41 $","171,25 $","2 400,00 $","1 200,00 $"
"140, rue des Millésimes",549 900 $,Ste-Sophie,Laurentides,4,2,,1,1 118 pi² (103.87 m²),43 000 pi² (3 994.83 m²),,,,
"1830, rue Matteau",276 500 $,St-Paulin,Mauricie,2,1,1,1,1 100 pi² (102.19 m²),20 000 pi² (1 858.06 m²),"2 258,00 $","151,00 $","650,00 $","482,00 $"
"483, rang William",1 150 000 $,ND-De-La-Paix,Outaouais,3,1,1,2,2 210 pi² (205.32 m²),7 318 080.02 pi² (168 acres),"4 108,00 $","245,00 $","1 084,00 $","4 497,00 $"
"4724, rue Joseph L'amoureux",379 900 $,Contrecoeur,Montérégie (Rive-Sud Montréal),2,1,,1,977 pi² (90.77 m²),98.4x38 pi (29.99x11.58 m),,,,
"28, rue des Tilleuls",435 000 $,Rivière-Du-Loup,Bas-Saint-Laurent,3,2,,1,41x37.5 pi (12.50x11.43 m),7 362.51 pi² (684 m²),"4 121,36 $","271,46 $",,
"59, rue de l'Église",849 000 $,Mercier,Montérégie (Rive-Sud Montréal),2,1,,,,"3,750.15 pi² (348.4 m²)","5 065,86 $","318,60 $",,"1 498,00 $"
"1105, rue Gauguin",635 000 $,Boisbriand,Laurentides,3,1,1,1,1 036 pi² (96.25 m²),6 687 pi² (621.24 m²),,,,
"492-494, rue Malherbe",368 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,6,3,,,,8 533.63 pi² (792.8 m²),"4 223,91 $","235,89 $",,"1 244,78 $"
"121, rue Gilles-Labarre",539 000 $,Chateauguay,Montérégie (Rive-Sud Montréal),4,2,,1,1 056 pi² (98.11 m²),6 820 pi² (633.6 m²),"3 699,70 $","255,44 $","2 062,00 $","1 023,00 $"
"76, rue Dumont",799 900 $,Lac-Brome (Foster),Estrie,4,2,,1,"1,300 pi² (120.77 m²)","30,000 pi² (2,787.09 m²)",,,,
"102-585, chemin Tiffin",305 000 $,St-Lambert,Montérégie (Rive-Sud Montréal),1,1,,1,618 pi² (57.41 m²),618 pi² (57.41 m²),"2 125,00 $","200,00 $","900,00 $","840,00 $"
"5775, route 148",679 900 $,Pontiac,Outaouais,4,3,1,3,"2,004 pi² (186.18 m²)","210,830.40 pi² (4.84 acres)",,,,
"203-235, rue Bohémier",343 900 $,Mascouche,Lanaudière,2,1,,1,1 100 pi² (102.19 m²),,,,,
"94, chemin Frazer",275 000 $,Pontiac,Outaouais,3,1,1,1,854 pi² (79.34 m²),5 000 pi² (464.52 m²),"1 140,48 $","99,76 $","1 000,00 $","2 194,00 $"
"122, rue Dupuis",88 000 $,Kingsey Falls,Centre-du-Québec,,,,,,21 885 pi² (2 033.18 m²),,,,
"600-602, rue Marquette",839 999 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,3,,,,"4,635 pi² (430.61 m²)","3 728,62 $","385,24 $",,"2 843,81 $"
"150, rue de la Serpentine",325 000 $,St-Étienne-De-Bolton,Estrie,,,,,,215 938 pi² (20 061.3 m²),"535,08 $","94,42 $",,
"17664, rue de Chenonceau",484 000 $,Mirabel (Domaine-Vert Nord),Laurentides,3,1,1,2,1 528 pi² (141.96 m²),1 442 pi² (133.97 m²),"1 791,47 $","247,59 $","1 057,20 $",
"43, rue du Grand-Héron",1 156 000 $,Lanoraie,Lanaudière,4,1,1,2,2 217 pi² (205.97 m²),39 000 pi² (3 623.22 m²),"3 500,00 $","516,00 $","2 500,00 $","2 000,00 $"
"145, rue Coleman",425 000 $,Scotstown,Estrie,2,1,1,3,1 700 pi² (157.94 m²),10 893.08 pi² (1 012 m²),"1 921,15 $","197,37 $","220,00 $","1 350,00 $"
"620-622, rue Sauvageau",175 000 $,Thetford Mines,Chaudière-Appalaches,4,2,1,,,5 369 pi² (498.8 m²),"2 311,06 $","64,00 $",,
"3475, rue Charlotte-Dubuc",675 000 $,Carignan,Montérégie (Rive-Sud Montréal),3,2,1,2,1 632 pi² (151.62 m²),3 495.04 pi² (324.7 m²),"3 300,00 $","376,00 $","1 800,00 $",
"426, boulevard Marie-Victorin",1 598 000 $,Boucherville,Montérégie (Rive-Sud Montréal),3,2,,2,3 148 pi² (292.46 m²),25 236 pi² (2 344.5 m²),"5 840,00 $","951,00 $","1 000,00 $","1 735,00 $"
rue Audet,25 000 $,Lac-Mégantic,Estrie,,,,,,,,,,
,273 500 $Prix de vente fourni par le vendeur à DuProprio.,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),2,1,1,2,954 pi² (88.63 m²),6 500 pi² (603.87 m²),,,,
"45, rue Bocage",699 000 $,Gatineau (Gatineau),Outaouais,4,1,1,2,1 723 pi² (160.07 m²),8 342 pi² (775 m²),"4 014,17 $","291,32 $","1 600,00 $",
"201-37, rue Saint-Patrick",274 000 $,Shannon,Québec Rive-Nord,2,1,1,1,1 242 pi² (115.39 m²),,"2 061,76 $","176,81 $","832,92 $",
"74, chemin de la Chanterelle",624 000 $,St-Donat,Lanaudière,3,1,1,2,,16 242.74 pi² (1 509 m²),,,,
"39, rue de Ronsard",659 000 $,St-Constant,Montérégie (Rive-Sud Montréal),4,2,1,2,1 434 pi² (133.22 m²),,,,,
"2470, rue des Salicaires",609 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,2,1,2,1 383 pi² (128.48 m²),,,,,
3322 rue Masson,373 195 $,Rosemont / La Petite Patrie,Montréal / l'Île,1,1,,1,726 pi² (67.45 m²),,,,,
rue des Sables,376 300 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,5,2,1,3,,5 000 pi² (464.52 m²),,,,
"1136, chemin du Massif",1 354 361 $,Piedmont,Laurentides,2,1,1,2,2 244 pi² (208.47 m²),59 524 pi² (5 529.96 m²),,,,
"89, rue Simard",809 000 $,St-Ferréol-les-Neiges,Québec Rive-Nord,4,3,1,2,1 320 pi² (122.63 m²),2 136 pi² (198.44 m²),"3 273,00 $","377,00 $",,
"201, avenue Lavoie",293 000 $,Albanel,Saguenay-Lac-Saint-Jean,4,2,1,1,1 248.6 pi² (116 m²),18 575.28 pi² (1 725.7 m²),"2 672,79 $","133,63 $","1 915,82 $",
"695, chemin de Rockway-Valley",95 000 $,Amherst,Laurentides,,,,,,66 628.61 pi² (6 190 m²),,,,
,,Lebourgneuf,Québec Rive-Nord,2,1,,1,1 028 pi² (95.5 m²),,,,,
,646 000 $Prix de vente fourni par le vendeur à DuProprio.,Magog,Estrie,2,1,1,2,"1,134 pi² (105.35 m²)","20,000 pi² (1,858.06 m²)",,,,
"426, rue Goyer",599 000 $,Bois-Des-Filion,Laurentides,3,1,1,2,1 150 pi² (106.84 m²),4 937 pi² (458.66 m²),"3 280,99 $","331,44 $",,"1 150,00 $"
"781-783-785, avenue Walker",995 000 $,Le Sud-Ouest,Montréal / l'Île,5,3,1,,,2 045.14 pi² (190 m²),"5 773,56 $","736,46 $",,
"x, chemin Snigole",295 000 $,Clermont,Charlevoix,01,1,1,1,810 pi² (75.25 m²),29 062.56 pi² (2 700 m²),"554,15 $","106,00 $",,"290,00 $"
"33, rue Franc",650 000 $,Blainville,Laurentides,3,1,1,2,1 460 pi² (135.64 m²),5 872.25 pi² (545.55 m²),"3 084,00 $","360,00 $","1 945,00 $","2 200,00 $"
"252, chemin du Rivage",849 900 $,St-Antoine-sur-Richelieu,Montérégie (Rive-Sud Montréal),5,2,1,2,3 185 pi² (295.9 m²),53 800 pi² (4 998.18 m²),"3 490,98 $","431,11 $","6 936,00 $","2 561,16 $"
"40, rue Cartier",749 900 $,Gatineau (Gatineau),Outaouais,2,1,,2,1 180 pi² (109.63 m²),21 900 pi² (2 034.58 m²),"5 500,00 $","538,00 $","300,00 $","550,00 $"
"X, chemin Régimbald",199 000 $,St-Donat,Lanaudière,,,,,,59 922 pi² (5 566.94 m²),,,,
"1871, rue Leclaire",850 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,6,3,,,,21.00x100.00 pi (6.4x30.48 m),"4 854,54 $","596,61 $",,"3 398,72 $"
"58, rue de la Charente",844 500 $,L'Assomption,Lanaudière,4,2,1,1,1 532 pi² (142.33 m²),10 351.65 pi² (961.7 m²),"5 218,00 $","477,00 $","1 950,00 $",
"2394, rue des Lobélies",425 000 $,Marieville,Montérégie (Rive-Sud Montréal),3,1,1,2,1 080 pi² (100.34 m²),4 100 pi² (380.9 m²),"3 051,99 $","202,83 $","1 733,01 $",
"67, rue de l'Escale",735 000 $,Gaspé,Gaspésie-Îles-de-la-Madeleine,4,2,1,2,"1,500 pi² (139.35 m²)","31,000 pi² (2,879.99 m²)","4 700,00 $","357,00 $","4 800,00 $","1 500,00 $"
"189, chemin de la Falaise",199 000 $,Piedmont,Laurentides,2,1,,1,500 pi² (46.45 m²),17 860 pi² (1 659.25 m²),"1 040,00 $","82,00 $","866,00 $","677,00 $"
"Lot 20, rue des Faux-Trembles",298 000 $,Eastman,Estrie,,,,,,75 950 pi² (7 055.99 m²),"467,64 $","43,12 $",,
"1258, boulevard Monseigneur-de-Laval",539 000 $,Baie-St-Paul,Charlevoix,5,1,,2,"2,080 pi² (193.24 m²)","103,799.62 pi² (9,643.3 m²)","4 537,95 $","359,00 $","3 895,68 $",
"113, rue Bridge",1 299 900 $,Gatineau (Buckingham),Outaouais,3,3,,2,"2,102 pi² (195.28 m²)","75,788.69 pi² (7,041 m²)","3 911,00 $","307,00 $","2 933,00 $","1 980,00 $"
"1954, avenue de la Gare",229 800 $,Mascouche,Lanaudière,1,1,,1,551 pi² (51.19 m²),,"1 989,00 $","112,00 $",,
"3-3750, place Nogent",319 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,980 pi² (91.04 m²),,"1 274,00 $","152,00 $","650,00 $",
Rue Islemère,390 000 $,Ste-Dorothée,Laval,,,,,,7 410 pi² (688.41 m²),"832,00 $","41,00 $",,
"427, chemin de l'Anse",549 000 $,Trois-Rives,Mauricie,3,2,,2,1 490.80 pi² (138.5 m²),46 097.52 pi² (4 282.6 m²),"1 300,00 $","220,22 $","2 760,00 $","1 836,00 $"
"1-2-3-12175, avenue de Poutrincourt",889 000 $,Ahuntsic / Cartierville,Montréal / l'Île,6,4,,,,2 787.86 pi² (259 m²),"4 320,32 $","550,10 $","3 600,00 $","5 000,00 $"
"8384, rue de Buffalo",235 000 $,Neufchatel,Québec Rive-Nord,2,1,,1,1 112 pi² (103.31 m²),14 989.82 pi² (1 392.6 m²),"2 250,65 $","163,46 $","960,00 $","300,00 $"
"131, rue de Port-Royal",599 999 $,St-Jacques,Lanaudière,3,3,,2,1 730 pi² (160.72 m²),5 931.99 pi² (551.1 m²),"4 069,26 $","333,87 $",,
"507-5175, avenue de Courtrai",650 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,2,2,,1,1 045 pi² (97.08 m²),1 045 pi² (97.08 m²),"2 970,00 $","377,26 $","450,00 $","711,48 $"
"156, rue Blanchet",399 000 $,Amqui,Bas-Saint-Laurent,3,2,1,1,1 381 pi² (128.3 m²),11 539 pi² (1 072.01 m²),"3 681,98 $","229,61 $","1 968,00 $",
"401-401A, 6e Avenue Pilote",229 000 $,La Pocatiere,Bas-Saint-Laurent,3,2,,,,4 641 pi² (431.16 m²),"2 771,81 $","112,89 $",,"1 700,00 $"
"651, chemin du Curé-Corbeil Est",599 000 $,Val-Morin,Laurentides,2,2,,1,1 040 pi² (96.62 m²),30 000 pi² (2 787.09 m²),"4 179,60 $","253,86 $","2 566,20 $",
"11, avenue de Barcelone",849 600 $,Candiac,Montérégie (Rive-Sud Montréal),3,2,,1,1 274 pi² (118.36 m²),90x100 pi (27.43x30.48 m),"3 169,41 $","388,25 $",,
"42, rue des Voltigeurs",258 000 $,Pont-Rouge,Portneuf,2,1,1,1,580 pi² (53.88 m²),3 350 pi² (311.23 m²),"2 029,94 $","135,31 $","813,36 $","354,36 $"
"73, rang du Vieux-Chemin",525 000 $,St-Louis-Du-Ha-Ha,Bas-Saint-Laurent,4,1,1,2,1 800 pi² (167.23 m²),2 613 600.01 pi² (60 acres),"3 313,00 $","180,00 $","3 372,00 $","1 000,00 $"
"520, chemin des Geais-Bleus",459 000 $,Nominingue,Laurentides,3,2,1,2,1 120 pi² (104.05 m²),378 442 pi² (35 158.41 m²),"2 564,18 $","237,58 $",,
"120, rue Champagne",429 000 $,St-Pierre-Les-Becquets,Centre-du-Québec,3,1,1,2,2 098 pi² (194.91 m²),18 529 pi² (1 721.4 m²),"2 627,00 $","200,00 $","1 320,00 $","997,00 $"
"579, rue des Orioles",839 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,1,1,2,1 960 pi² (182.09 m²),4 500 pi² (418.06 m²),"4 626,83 $","475,67 $","3 268,24 $",
807-115 rue Murray,462 700 $,Griffintown,Montréal / l'Île,1,1,,1,550 pi² (51.1 m²),,,,,
"35, chemin Veilleux",569 900 $,Bury,Estrie,5,1,1,2,2 376 pi² (220.74 m²),53 819.55 pi² (5 000 m²),"2 810,24 $","320,08 $","2 200,00 $",
rue Gauguin,425 999 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),2,1,,1,1 075 pi² (99.87 m²),4 763 pi² (442.5 m²),,,,
"13990-13992, rue Guillaume-Alarie",635 000 $,Mirabel (St-Janvier),Laurentides,4,1,1,1,1 236 pi² (114.83 m²),6 127 pi² (569.22 m²),"2 460,11 $","377,72 $",,
"8005, rue François-Baillairgé",645 000 $,Mirabel (St-Augustin),Laurentides,3,2,,2,1 728 pi² (160.54 m²),12 410 pi² (1 152.93 m²),"2 481,00 $","350,00 $",,
Rue des Iris,449 900 $,Victoriaville,Centre-du-Québec,4,1,1,2,1 787 pi² (166.02 m²),17 453.68 pi² (1 621.5 m²),,,,
,,Granby,Estrie,2,1,,1,1 248 pi² (115.94 m²),6 630 pi² (615.95 m²),,,,
"3714, 40e Avenue",465 000 $,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3,1,1,1,1 004.27 pi² (93.3 m²),37.99x112.50 pi (11.58x34.29 m),"2 640,27 $","301,24 $",,
"303-7401, avenue des Halles",394 500 $,Anjou,Montréal / l'Île,2,1,,1,942.92 pi² (87.6 m²),960.46 pi² (89.23 m²),"2 195,13 $","233,16 $","900,00 $",
"2010, chemin des Chalets",549 900 $,Mont-Blanc (St-Faustin-Lac-Carré),Laurentides,3,2,,2,"1,448 pi² (134.52 m²)","41,000 pi² (3,809.02 m²)","2 225,29 $","181,27 $","1 800,00 $","1 112,00 $"
"436, rue Aubry",474 900 $,St-Jérôme (St-Jérôme),Laurentides,3,2,1,2,1 200 pi² (111.48 m²),4 460 pi² (414.35 m²),"2 404,00 $","184,00 $","2 520,00 $",
"947, 16e Rang Ouest",975 000 $,Villeroy,Centre-du-Québec,3,1,,2,1 733.49 pi² (161.05 m²),5 777 884.14 pi² (157 arpents),"3 895,81 $","326,85 $","2 252,00 $",
"319, rue Alexandre",669 900 $,Pont-Viau,Laval,6,2,,1,33.63x31.1 pi (10.25x9.48 m),5 334.59 pi² (495.6 m²),"3 747,11 $","375,48 $","2 519,93 $","1 028,96 $"
rue Gauguin,459 999 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),3,1,1,2,1 440 pi² (133.78 m²),5 241 pi² (486.9 m²),,,,
"310-3600, avenue Van Horne",324 000 $,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,1,1,,1,608 pi² (56.49 m²),692 pi² (64.29 m²),"1 566,00 $","185,00 $","800,00 $",
"12220, boulevard des Forges",470 000 $,Trois-Rivières (Trois-Rivières),Mauricie,04,3,,2,2 516.60 pi² (233.8 m²),22 980 pi² (2 134.91 m²),"3 421,00 $","567,00 $",,
"8, rue Pesant",619 000 $,St-Isidore-De-Laprairie,Montérégie (Rive-Sud Montréal),4,1,,1,1 137 pi² (105.63 m²),5 336 pi² (495.73 m²),"2 240,00 $","304,00 $","2 000,00 $",
"370, 3e Rang Ouest",320 000 $,St-Michel-de-Bellechasse,Chaudière-Appalaches,4,1,1,2,1 960 pi² (182.09 m²),38 577 pi² (3 583.92 m²),"1 990,65 $","196,00 $","2 880,00 $","1 700,00 $"
"101-304, rue Le Royer Est",849 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,1,"1,040 pi² (96.62 m²)",37.89x42.49 pi (11.55x12.95 m),"3 455,33 $","456,24 $","1 116,00 $",
"3300, rue de Contrecoeur",549 000 $,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,4,1,1,2,1 308 pi² (121.52 m²),2 884.73 pi² (268 m²),"2 607,94 $","386,81 $","2 579,88 $","752,10 $"
"110-6005, boulevard Chevrier",359 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,1,882 pi² (81.94 m²),,"1 661,69 $","221,29 $",,
"201-450, chemin de la Grande-Côte",969 000 $,Lorraine,Laurentides,2,2,,1,"1,734 pi² (161.09 m²)",,"5 265,33 $","283,33 $","925,00 $","700,00 $"
"1114, chemin de la Montagne",499 000 $,Orford,Estrie,4,2,1,3,,1 603 pi² (148.92 m²),"2 512,00 $","253,00 $","1 448,00 $","1 200,00 $"
"2718, rue du Taurus",350 000 $,Sherbrooke (Fleurimont),Estrie,4,2,,1,893.40 pi² (83 m²),8 000 pi² (743.22 m²),"1 929,67 $","158,37 $","1 700,00 $",
"3970, rue gélineau",709 995 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,1,1,2,1 608 pi² (149.39 m²),5 000 pi² (464.52 m²),,,,
"269-273, avenue Chappuis",789 000 $,Ste-Therese,Laurentides,3,1,,,,5 500.36 pi² (511 m²),"5 743,25 $","499,99 $",,"1 200,00 $"
"6-8130, rue de Londres",435 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,1,883.7 pi² (82.1 m²),,,,,
"651, avenue d'Artois",79 000 $,Esterel,Laurentides,,,,,,29 000 pi² (2 694.19 m²),,,,
"57, rue Lapalme",1 037 500 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),4,2,2,2,,"16,665.7 pi² (1,548.29 m²)",,,,
"10, Avenue Sainte-Marguerite",649 000 $,St-Sauveur,Laurentides,4,2,1,2,1 617 pi² (150.22 m²),5 000 pi² (464.52 m²),,,,
"103-5720, place Trenet",359 000 $,Auteuil,Laval,2,1,1,1,1 015.04 pi² (94.3 m²),,"2 048,00 $","193,00 $",,
"8541, avenue Royale",1 250 000 $,Château-Richer,Québec Rive-Nord,3,2,1,2,,1 763 975 pi² (163 878.64 m²),"3 646,65 $","359,91 $","929,76 $",
"198, rue du Sémillon",429 000 $,Drummondville (Drummondville),Centre-du-Québec,3,1,1,2,1 214 pi² (112.78 m²),3 600 pi² (334.45 m²),"1 976,00 $","339,00 $","2 263,00 $",
chemin Riverdale,349 000 $,Ste-Adèle,Laurentides,,,,,,85 000 pi² (7 896.76 m²),,,,
,273 000 $Prix de vente fourni par le vendeur à DuProprio.,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,3,1,,2,"1,345 pi² (124.95 m²)","10,527.1 pi² (978 m²)",,,,
"12, rue East Park",325 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),4,1,1,2,1 487.57 pi² (138.2 m²),1 400.38 pi² (130.1 m²),"2 000,00 $","113,84 $","2 200,00 $","1 130,00 $"
boulevard Saint-Jean,737 000 $,Dollard-Des-Ormeaux,Montréal / l'Île,3,2,,1,1 496 pi² (138.98 m²),,,,,
"1169, rue Gilles",539 000 $,Fabreville,Laval,2,1,1,2,1 296 pi² (120.4 m²),3 150.60 pi² (292.7 m²),"2 698,27 $","279,02 $","1 800,00 $","1 776,00 $"
"656-700, Chemin de la Côte-Sud-du-Lac-Vert",Prix sur demande,St-Nérée,Chaudière-Appalaches,,,,,,,,,,
"4407, rue Saint-Félix",439 000 $,Cap-Rouge,Québec Rive-Nord,3,2,,1,924 pi² (85.84 m²),12 507.2 pi² (1 161.96 m²),"3 448,30 $","288,33 $","2 000,00 $",
rue de la Manufacture,310 889 $,Victoriaville,Centre-du-Québec,1,1,,1,1 000 pi² (92.9 m²),4 671 pi² (433.95 m²),,,,
"30-32-34-36, rue Regina",997 000 $,Longueuil (Greenfield Park),Montérégie (Rive-Sud Montréal),8,5,,,,6 830 pi² (634.53 m²),"6 263,24 $","658,23 $",,
Unité 317 - 175 avenue des Chênes,444 100 $,Candiac,Montérégie (Rive-Sud Montréal),2,2,,1,1 068 pi² (99.22 m²),,,,,
"590-592, rue de Gascogne",379 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,3,1,1,,,6 384 pi² (593.09 m²),"4 151,00 $","265,00 $",,
rue des Sables,351 400 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,2,1,,1,,6 500 pi² (603.87 m²),,,,
"18, rue Crouch",629 800 $,Val-Des-Monts (Perkins),Outaouais,3,1,1,2,1 500 pi² (139.35 m²),40 267.79 pi² (3 741 m²),,,,
"34, rue Crouch",594 800 $,Val-Des-Monts (Perkins),Outaouais,3,1,1,2,1 500 pi² (139.35 m²),40 346.37 pi² (3 748.3 m²),,,,
"89, rue Vaudreuil",264 800 $,Gatineau (Hull),Outaouais,2,1,,1,845 pi² (78.5 m²),,,,,
"124, rue Louise",432 700 $,Victoriaville,Centre-du-Québec,4,2,,1,1 300 pi² (120.77 m²),27 000 pi² (2 508.38 m²),"2 800,00 $","202,00 $","2 300,00 $",
,225 000 $Prix de vente fourni par le vendeur à DuProprio.,Portneuf,Portneuf,3,2,,1,1 204.48 pi² (111.9 m²),6 939.49 pi² (644.7 m²),,,,
,135 000 $Prix de vente fourni par le vendeur à DuProprio.,Sherbrooke (Fleurimont),Estrie,,,,,,9 138 pi² (848.95 m²),,,,
1150 Boulevard René-Lévesque Est,565 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,2,1,,1,856 pi² (79.53 m²),,,,,
"270B, chemin H.-Zurenski",795 000 $,Val-Des-Monts,Outaouais,3,2,,1,1 548 pi² (143.81 m²),49 758 pi² (4 622.67 m²),,,,
"270A, chemin H.-Zurenski",890 000 $,Val-Des-Monts,Outaouais,3,2,,1,1 735.68 pi² (161.25 m²),49 758 pi² (4 622.67 m²),,,,
"307-2560, rue Bélanger",475 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,2,1,,1,826.7 pi² (76.8 m²),,"2 759,52 $","341,88 $","600,00 $",
"3395, chemin Sainte-Thérèse",498 000 $,Carignan,Montérégie (Rive-Sud Montréal),3,1,,1,,124 pi² (11.52 m²),"1 695,00 $","175,09 $","3 400,00 $","1 600,00 $"
"414-3029, rue Édouard-Monpetit",449 000 $,Chomedey,Laval,2,1,,2,1 448.82 pi² (134.6 m²),1 599.52 pi² (148.6 m²),"2 640,00 $","279,00 $","1 590,00 $",
"65, chemin des Chevreuils",595 000 $,Potton (Owls Head),Estrie,3,1,1,2,1 060 pi² (98.48 m²),2 665.14 pi² (247.6 m²),"3 009,38 $","288,49 $","938,76 $",
"301-7528, avenue Casgrain",644 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,2,,2,842.81 pi² (78.3 m²),,"2 808,00 $","412,00 $",,
"160, rue François-De Laval",425 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),4,2,1,2,1 300.28 pi² (120.8 m²),4 500 pi² (418.06 m²),"2 986,00 $","290,17 $","1 200,00 $","1 200,00 $"
"404-4902, rue Saint-Laurent",485 000 $,Lévis,Québec Rive-Sud (Lévis),2,1,1,4,1 190 pi² (110.55 m²),,"3 654,00 $","369,24 $","537,00 $","305,00 $"
"213-7145, rue Saint-Urbain",475 000 $,Rosemont / La Petite Patrie,Montréal / l'Île,1,1,,1,737 pi² (68.47 m²),,"2 199,40 $","266,00 $",,
