Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"14120, rue Félix-Leclerc",760 000 $,Mirabel (St-Janvier),Laurentides,4,,1,2,2 991 pi²,,"2 586,00 $","432,74 $","3 900,00 $",
"127, chemin Murray",650 000 $,La Pêche (Ste-Cecile-De-Masham),Outaouais,1,1,,2,1 032 pi²,,"2 857,60 $","304,87 $","2 376,00 $","1 569,60 $"
"196, rue du Merlot",539 000 $,Gatineau (Gatineau),Outaouais,4,,,1,992 pi²,,"3 652,95 $","264,96 $","2 040,00 $","2 178,00 $"
304 rue Bissonnette,608 741 $,Ste-Julie,Montérégie (Rive-Sud Montréal),2,1,1,2,1 622 pi²,,,,,
"357, 16e Avenue",369 000 $,Desbiens,Saguenay-Lac-Saint-Jean,4,,,1,3 420 pi²,,"4 996,00 $","250,00 $","307,00 $",
"1020, rue St-Alexandre",573 950 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,,1,2,1 842 pi²,,,,,
rue Paul-Gilbert,"354 019,22 $",Charny,Québec Rive-Sud (Lévis),2,1,,1,874 pi²,,,,,
"8762, rue des Aieux",269 900 $,Lebourgneuf,Québec Rive-Nord,2,1,,1,1 200 pi²,,"2 259,77 $","165,73 $","800,00 $",
25 - 2186 Rue Plessis,1 250 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,4,,1,2,2 579 pi²,,,,,
"1812, rue Southmount",569 000 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),3,1,1,1,1 188 pi²,,"3 047,00 $","373,00 $","896,00 $","1 286,00 $"
"650, 6e Rang",175 000 $,St-Jude,Montérégie (Rive-Sud Montréal),2,1,,1,728 pi²,,"1 036,80 $","94,25 $",,
"942, Côte Joyeuse",268 000 $,St-Raymond,Portneuf,5,,1,2,,,,,,
"2750, rue du Gouverneur",475 000 $,Drummondville (Drummondville),Centre-du-Québec,4,,,1,1 050 pi²,,,,,
"926, avenue du Palais",374 000 $,St-Joseph-De-Beauce,Chaudière-Appalaches,12,,,,,,"4 826,00 $","183,31 $",,
"2178-2182, avenue Paul-Chalifour",425 000 $,Beauport,Québec Rive-Nord,2,1,1,,,,"3 774,56 $","284,12 $","2 988,00 $",
"7932, rue des Santolines",249 000 $,Charlesbourg,Québec Rive-Nord,2,1,,1,1 100 pi²,,,,,
"147, rue de Mirabel",389 900 $,Gatineau (Gatineau),Outaouais,3,1,1,2,1 354 pi²,,"2 671,00 $","174,00 $","1 200,00 $","600,00 $"
"302-5980, rue Corneille",420 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,891.25 pi²,,"1 750,26 $","266,84 $",,
"302-6400, rue Christophe",420 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,3,976.29 pi²,,"1 750,92 $","231,02 $",,
"205-8540, rue Raymond-Pelletier",375 000 $,Ahuntsic / Cartierville,Montréal / l'Île,1,1,1,1,662 pi²,,"1 747,54 $","208,03 $","526,91 $","466,44 $"
"184-188, rang Bourgchemin Est",298 000 $,St-Hugues,Montérégie (Rive-Sud Montréal),2,1,,1,768 pi²,,"2 273,00 $","154,00 $","1 450,00 $","95,00 $"
"208-335, avenue Mathieu-Da Costa",370 000 $,Lebourgneuf,Québec Rive-Nord,2,1,,1,1 150 pi²,,"2 915,00 $","270,00 $","1 500,00 $",
"3801, boulevard Moïse-Vincent",738 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,,1,2,1 440 pi²,,"3 800,00 $","375,00 $","2 791,92 $","1 099,92 $"
"612, rue Janson",1 189 000 $,Ste-Dorothée,Laval,5,,1,2,2 446 pi²,,"5 030,00 $","577,00 $","3 900,00 $",
"964, rue Parent",299 000 $,St-Rene,Chaudière-Appalaches,4,,,1,1 200 pi²,,"1 961,03 $","172,91 $","1 437,00 $",
"360, chemin Lac-du-Repos",169 000 $,St-Félicien,Saguenay-Lac-Saint-Jean,1,1,,1,827 pi²,,"1 293,56 $",,"1 200,00 $",
"555, chemin des Cèdres",799 900 $,Piedmont,Laurentides,4,,1,2,1 722.53 pi²,,"3 484,79 $",,,
"2100, rue des Bernaches",679 000 $,Ste-Julienne,Lanaudière,3,,,1,1 144 pi²,,"3 013,45 $",,,
rue des Pommiers,160 000 $,St-Côme,Lanaudière,,,,,,,,,,
"5, rue Clément",425 999 $,St-Roch-De-L'Achigan,Lanaudière,5,,,2,1 040 pi²,,"2 650,00 $","190,00 $",,
"363, chemin Jetté",589 000 $,Farnham,Estrie,4,,,2,1 402 pi²,,"3 069,00 $","277,00 $","2 700,00 $",
"9-13, route du Président-Kennedy",375 000 $,Lévis,Québec Rive-Sud (Lévis),5,,,,,,"3 891,60 $","251,91 $",,"1 915,20 $"
,310 000 $Prix de vente fourni par le vendeur à DuProprio.,Duberger,Québec Rive-Nord,3,1,1,2,1 033 pi²,,,,,
"2278, rue Dion",498 000 $,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,4,,,2,1 300 pi²,,"4 091,00 $","278,00 $","224,98 $","1 349,00 $"
"58, chemin Lévesque",469 000 $,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,4,,1,1,28.41x34.38 pi,,"1 587,27 $","190,42 $","230,00 $","1 100,00 $"
"614, rue Lacomblé",595 000 $,Beauport,Québec Rive-Nord,4,,,2,1 700 pi²,,,,,
"425, allée de la Tourbière",969 500 $,St-Sauveur,Laurentides,3,,1,2,2 152 pi²,,"3 828,95 $","457,93 $","2 000,00 $","1 770,00 $"
"1058, boulevard Perron",300 000 $,Carleton-sur-Mer,Gaspésie-Îles-de-la-Madeleine,2,1,,1,40x35 pi,,"2 056,13 $","144,00 $","2 871,00 $",
"156, rue Quévillon",524 000 $,Varennes,Montérégie (Rive-Sud Montréal),3,,,1,1 169.71 pi²,,"2 087,40 $","276,30 $","2 304,00 $","982,20 $"
"45, Avenue des Tilleuls",484 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),3,1,1,2,1 396 pi²,,,,,
"5720, route 147",475 000 $,Waterville,Estrie,4,,,2,2 591.95 pi²,,"1 903,00 $","163,00 $",,
"3559, rue Guertin",30 000 $,Thetford Mines,Chaudière-Appalaches,,,,,,,,,,
"1011, rue Jeanne-le-Ber",390 000 $,Ste-Foy,Québec Rive-Nord,3,,1,2,1 100 pi²,,"2 857,00 $","238,00 $","2 345,00 $",
"4322-71, chemin Saint-Éloi",375 000 $,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,2,1,,1,936 pi²,,"2 800,00 $","203,00 $","2 200,00 $","1 200,00 $"
"24, chemin Sous-le-Cap",950 000 $,Stoneham,Québec Rive-Nord,3,,1,2,1 525 pi²,,"2 845,77 $","159,93 $","2 474,68 $","1 000,00 $"
"1921-1923-1925-1927, rue Renaud",320 000 $,Dolbeau-Mistassini,Saguenay-Lac-Saint-Jean,12,,,,,,"4 831,63 $",,,
,275 000 $Prix de vente fourni par le vendeur à DuProprio.,Beaupré,Québec Rive-Nord,3,1,,2,861.11 pi²,,,,,
"50-52, rue Saint-Antoine",330 000 $,Lévis,Québec Rive-Sud (Lévis),3,1,,,,,"3 076,00 $","226,00 $",,"1 296,00 $"
"729, rue Saint-Joseph","16,50 $",Lévis,Québec Rive-Sud (Lévis),,,,,,,,,,
"142, rue Principale",649 000 $,Frampton,Chaudière-Appalaches,15,,,,,,"11 257,00 $","441,81 $",,
"153, route 138",542 000 $,Cap-Santé,Portneuf,2,1,1,2,"1,532 pi²",,,,,
"1352, boulevard Maisonneuve",550 000 $,St-Jérôme (Bellefeuille),Laurentides,4,1,1,2,1 680 pi²,,"3 000,00 $","257,00 $","2 640,00 $","900,00 $"
"262, avenue de la Bonne-Entente",289 000 $,Ste-Marie,Chaudière-Appalaches,8,,,1,1 090 pi²,,"2 593,03 $","130,58 $",,
"522, rue Mercier",650 000 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),5,,1,1,1 386 pi²,,"2 812,54 $","270,79 $",,
"434, rue de Sainte-Paule",429 000 $,St-Jérôme (St-Jérôme),Laurentides,4,1,1,2,1 620 pi²,,"2 694,61 $","234,38 $","3 000,00 $","1 320,00 $"
"869, rue des Angéliques",685 000 $,Sherbrooke (Rock Forest),Estrie,5,,1,2,1 977 pi²,,"4 622,00 $","370,00 $","3 600,00 $",
"108, Rue de Cassiopée",599 000 $,Gatineau (Aylmer),Outaouais,5,1,1,2,1 758 pi²,,,,,
"119, rue Saint-Fidèle",300 000 $,La Malbaie (St-Fidèle),Charlevoix,6,,,2,12 706.80 pi²,,"2 800,00 $","130,00 $","4 000,00 $","3 000,00 $"
"511, rue de l'Église",495 000 $,Charette,Mauricie,5,1,,2,"1,600 pi²",,"2 704,73 $","391,63 $","4 000,00 $",
"1291, rue des Fauvette",385 000 $,Gatineau (Gatineau),Outaouais,4,1,1,2,1 400 pi²,,"2 440,00 $","164,00 $",,
24 rue François-Michel,"559 161,31 $",Gatineau (Aylmer),Outaouais,3,1,1,2,1 523 pi²,,,,,
"1289, rue des Samares",745 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,,1,2,1 567.23 pi²,,"4 873,81 $","454,26 $","1 902,00 $","1 190,28 $"
"1200-1202, route 335",675 000 $,St-Calixte,Lanaudière,5,,,,,,,,,
"5894, rue de la Seine",272 000 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,2,1,1,2,1 018.27 pi²,,"2 371,00 $","116,00 $","840,00 $",
"2104, rue Germain",609 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,1,1,2,1 190 pi²,,"2 705,00 $","284,00 $","1 300,00 $","723,00 $"
"4176, rue Pie-XI",429 900 $,Lac-Mégantic,Estrie,3,,,1,1 115 pi²,,"4 127,00 $","248,00 $",,
1257 chemin Riverdale,899 000 $,Ste-Adèle,Laurentides,2,1,,1,1 496 pi²,,,,,
"2991782, rue de Lausanne",135 000 $,Val-David,Laurentides,,,,,,,,,,
"9, rue de Bernay","434 790,17 $",Blainville,Laurentides,3,1,1,2,,,,,,
,710 000 $Prix de vente fourni par le vendeur à DuProprio.,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3,1,1,2,1 520 pi²,,,,,
,272 000 $Prix de vente fourni par le vendeur à DuProprio.,St-Tite,Mauricie,2,1,,1,843 pi²,,,,,
,453 000 $Prix de vente fourni par le vendeur à DuProprio.,Charlesbourg,Québec Rive-Nord,4,,,1,1 065 pi²,,,,,
"358, rue Saint-Laurent",499 900 $,St-Eustache,Laurentides,5,,,1,1 071.55 pi²,,"2 606,01 $","245,01 $","2 441,28 $",
"1158, rue Bérubé",445 000 $,Sherbrooke (Rock Forest),Estrie,3,,1,2,1 320 pi²,,"3 432,55 $","207,00 $",,
"301-3640, rue Roland-Marquette",464 500 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2,,,1,911.7 pi²,,"2 450,00 $","231,00 $",,
"109-4725, rue Messier",714 900 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,1,2,1 059 pi²,,"3 782,52 $","477,78 $","970,54 $",
"9645-9647, rue Yvon-Paiement",735 000 $,Mirabel (St-Augustin),Laurentides,3,1,1,1,1 500 pi²,,,,,
"196, rue Principale",30 000 $,St-Luc-De-Bellechasse,Chaudière-Appalaches,,,,,,,"489,27 $","15,71 $",,
"1015, rue de Bellefeuille",619 900 $,Blainville,Laurentides,3,1,,,,,"3 289,18 $","345,42 $",,
"4-458, rue Langlois",375 000 $,Magog,Estrie,2,1,,2,900 pi²,,"2 341,98 $","163,17 $","1 600,00 $",
"23, Chemin de la Mer Est",640 000 $,St-Fabien,Bas-Saint-Laurent,2,1,1,1,1 400 pi²,,"3 059,28 $","228,90 $","3 200,00 $",
"221-201, rue Jacques-Le-Ber",468 000 $,L'Ile Des Soeurs,Montréal / l'Île,1,1,,1,615.7 pi²,,"2 504,08 $","302,08 $","340,00 $",
"385, rue Fradette",299 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,5,,,1,1 040 pi²,,"2 933,00 $",,"2 425,00 $",
"881, 883, 885, rue Toupin",999 900 $,L'Assomption,Lanaudière,3,,1,2,"3,620 pi²",,"7 238,48 $","550,00 $",,
"2015, rue du Printemps",169 000 $,Sherbrooke (St-Élie-d'Orford),Estrie,3,1,,1,910 pi²,,"1 182,00 $","86,00 $","920,00 $","898,16 $"
"160, rue de l'Églantier",686 000 $,Ste-Sophie,Laurentides,5,,,1,1 356 pi²,,"2 514,06 $","298,36 $",,
"142, rue Sinclair",520 000 $,Repentigny (Repentigny),Lanaudière,3,,,1,"1,020 pi²",,"1 735,16 $","231,93 $",,
"4544, rue Louis-Fiset",482 900 $,Contrecoeur,Montérégie (Rive-Sud Montréal),3,,,1,,,,,,
"160, carré Denise-Pelletier",615 000 $,Terrebonne (Terrebonne),Lanaudière,2,1,1,3,1 600 pi²,,"4 134,71 $","343,98 $","300,00 $",
"1501, rue Archambault",589 900 $,Ste-Adèle,Laurentides,5,,,2,2 100 pi²,,"3 562,92 $","256,11 $","4 480,00 $",
"5, rue Richard",295 900 $,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,4,,,1,800 pi²,,"2 561,00 $","321,00 $",,
"3054, avenue Louvain",542 500 $,Mascouche,Lanaudière,5,,,1,1 008 pi²,,"3 404,00 $","238,00 $","3 375,00 $",
"1784, rue des Vents",565 000 $,Ste-Julie,Montérégie (Rive-Sud Montréal),4,,,1,32x34 pi,,"2 648,11 $","294,50 $","1 800,00 $","1 200,00 $"
"774-A, Avenue du Colonel-Jones",379 000 $,Ste-Foy,Québec Rive-Nord,3,1,1,2,1 332 pi²,,,,,
"828, rue des Sapins",588 000 $,St-Eustache,Laurentides,3,,,1,1 108.68 pi²,,"3 146,00 $","324,00 $","2 430,00 $","1 218,00 $"
"531, rue Agathe-Gagné",239 900 $,Charlesbourg,Québec Rive-Nord,2,1,,1,1 124 pi²,,"2 100,00 $","161,00 $","1 000,00 $","400,00 $"
"40, chemin Karen",1 395 000 $,La Pêche (Wakefield),Outaouais,4,,1,2,2 100 pi²,,,,,
"31, avenue de la Rivière",270 000 $,Fossambault-Sur-Le-Lac,Québec Rive-Nord,2,1,,1,500 pi²,,"1 800,00 $","400,00 $","2 000,00 $","860,00 $"
"337, rue de l'Artisan",769 000 $,Bromont,Estrie,3,,,1,1 382.52 pi²,,"3 741,87 $","301,36 $","1 268,69 $","1 300,00 $"
"15261, boulevard de la Colline",319 000 $,Lac-St-Charles,Québec Rive-Nord,3,1,1,2,"1,153.89 pi²",,"2 689,00 $","216,00 $","1 268,00 $","1 200,00 $"
"1340, avenue Paquette",499 900 $,Brossard,Montérégie (Rive-Sud Montréal),5,1,,1,975 pi²,,"2 211,00 $","318,00 $","326,00 $",
"124, rue Dufault",495 000 $,Shefford,Estrie,2,1,,1,952 pi²,,"2 201,00 $","230,00 $","1 786,00 $",
"4476, boulevard Samson",399 000 $,Chomedey,Laval,3,,1,2,1 184 pi²,,"2 188,75 $","218,00 $","1 800,00 $",
"37, avenue de la Pointe-Claire",749 000 $,Pointe-Claire,Montréal / l'Île,3,1,1,2,1 500 pi²,,"4 144,62 $","509,20 $","1 330,00 $","1 638,00 $"
"821, rue Shefford",1 549 000 $,Bromont,Estrie,4,,,,,,"7 753,00 $","605,00 $","7 568,00 $",
"124, boulevard de Vignory",449 000 $,Lorraine,Laurentides,3,1,1,2,1 120.20 pi²,,"3 231,00 $","289,00 $","1 200,00 $","2 364,00 $"
"302-86, rue Front",214 900 $,Gatineau (Aylmer),Outaouais,2,1,,1,735 pi²,,"1 375,00 $","83,00 $",,"360,00 $"
"6, rue du Collège",250 000 $,St-Ephrem-De-Beauce,Chaudière-Appalaches,5,1,1,1,1 395.54 pi²,,"2 170,58 $","645,00 $","3 101,59 $","1 512,00 $"
"10, rue du Polder",474 900 $,Gatineau (Aylmer),Outaouais,4,,1,2,1 432 pi²,,"3 040,00 $","221,00 $",,
"37, rue de la Chantecler",929 900 $,Oka,Laurentides,3,,,1,1 400 pi²,,,,,
"508-4885, boulevard Henri-Bourassa Ouest",354 000 $,Saint-Laurent,Montréal / l'Île,1,1,,1,750 pi²,,"1 703,34 $","199,40 $","610,00 $","391,79 $"
"2090, rue Allegro",519 485 $,Trois-Rivières (Ste-Marthe-Du-Cap),Mauricie,4,,,1,1 350 pi²,,"3 241,33 $","242,00 $","200,00 $","100,00 $"
"1105, rue des Martins Pêcheurs",397 000 $,Degelis,Bas-Saint-Laurent,4,1,1,2,2 270 pi²,,"3 994,00 $","195,25 $","1 000,00 $",
"22, rue Renaud",327 000 $,Saint-Sauveur,Québec Rive-Nord,2,1,,1,1 086 pi²,,"2 749,00 $","215,00 $","1 134,00 $","463,00 $"
"32, rue Daguerre",332 000 $,Candiac,Montérégie (Rive-Sud Montréal),2,1,,1,949 pi²,,"1 930,24 $","192,56 $","542,12 $","576,00 $"
"1559-1561-1563-1565, rue Léo-Ayotte",789 000 $,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,2,1,,,,,"4 660,42 $","187,09 $",,
"3, chemin Belvoir",389 900 $,Ste-Agathe-Des-Monts,Laurentides,3,1,1,2,1 440 pi²,,"1 157,11 $","77,74 $","1 434,00 $","692,00 $"
"25, rue de la Vallée",899 000 $,Waterloo,Estrie,4,,1,2,2 555 pi²,,"2 629,00 $","705,00 $",,
"1300, rang Saint-Pierre",350 000 $,St-Zephirin-De-Courval,Centre-du-Québec,6,,,,,,"3 962,15 $","235,86 $","20 236,00 $","12 079,00 $"
", rue de la Céramique",149 900 $,St-Colomban,Laurentides,,,,,,,,,,
"1241, Rang du Pied-de-la-Montagne",299 000 $,Ste-Mélanie,Lanaudière,2,1,,2,1 064.55 pi²,,"1 088,00 $","91,00 $","1 763,00 $","1 946,00 $"
,250 000 $Prix de vente fourni par le vendeur à DuProprio.,Trois-Rivières (Trois-Rivières),Mauricie,2,,,1,1 390.70 pi²,,,,,
"2085, rue de Matane-sur-Mer",373 000 $,Matane,Bas-Saint-Laurent,3,,,1,1 140.97 pi²,,"3 591,80 $","182,41 $","1 209,60 $",
,275 000 $Prix de vente fourni par le vendeur à DuProprio.,Neufchatel,Québec Rive-Nord,3,1,,1,1 295 pi²,,,,,
"632, rue Arpin",578 500 $,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),2,1,,1,1 284 pi²,,"3 278,00 $","310,00 $","1 200,00 $","451,00 $"
"1789, avenue de Kilmarnock",1 197 000 $,Sillery,Québec Rive-Nord,4,,1,2,,,"4 935,36 $",,,
"4130, rue Saint-Laurent",295 000 $,Lévis,Québec Rive-Sud (Lévis),2,1,,1,30x31 pi,,"2 489,26 $","201,50 $","1 873,50 $","1 019,15 $"
"10455-10457, avenue Larose",719 900 $,Ahuntsic / Cartierville,Montréal / l'Île,3,,,,,,,"475,00 $",,
"194, croissant Chante-au-Vent",229 000 $,Lac-Simon,Outaouais,2,1,,1,640 pi²,,"811,92 $","43,07 $","530,00 $","480,00 $"
,245 000 $Prix de vente fourni par le vendeur à DuProprio.,Bécancour (St-Grégoire),Centre-du-Québec,2,1,,1,1 183 pi²,,,,,
,,St-Maurice,Mauricie,3,1,,1,,,,,,
"185, rue Verchères",629 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,,1,2,1 288 pi²,,"3 363,38 $","351,03 $","1 269,00 $","646,37 $"
"695, boulevard Quinn",799 900 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),5,1,1,2,1 863 pi²,,"4 674,97 $","413,64 $","708,00 $","1 519,48 $"
"101-1350, avenue du Golf-de-Bélair",179 000 $,Val-Bélair,Québec Rive-Nord,2,1,,1,917.09 pi²,,"1 697,23 $","109,62 $","706,68 $",
"740, Route 241",595 000 $,St-Joachim-De-Shefford,Estrie,4,,1,2,,,"2 334,04 $","337,21 $",,
"215-1811, rue William",459 000 $,Griffintown,Montréal / l'Île,1,1,,1,447.78 pi²,,"2 130,78 $","248,01 $","523,95 $","519,93 $"
"509-1155, avenue Turnbull",315 000 $,Montcalm,Québec Rive-Nord,1,1,,1,850 pi²,,"2 906,00 $","233,00 $","500,00 $","599,50 $"
"450, rue d'Everell",254 000 $,Beauport,Québec Rive-Nord,2,1,,1,24.2x52 pi,,"2 204,37 $","172,37 $","860,33 $","379,32 $"
"710, rue Mario-Benoît",625 000 $,St-Maurice,Mauricie,3,1,,2,2 525 pi²,,"2 915,00 $","255,00 $","2 630,00 $",
"1128, rue du Créneau",650 000 $,L'Ancienne-Lorette,Québec Rive-Nord,3,1,1,2,1 723 pi²,,"4 002,00 $","372,00 $","750,00 $","905,00 $"
"3-569, rue Jérôme-Richer",328 000 $,St-Eustache,Laurentides,2,1,,1,982 pi²,,"1 964,00 $","155,34 $",,
"859, rue Sainte-Marie",525 000 $,Chambly,Montérégie (Rive-Sud Montréal),4,,,1,900 pi²,,"2 350,63 $","278,93 $","2 000,00 $","1 750,54 $"
"440, chemin des Samares",477 000 $,St-Mathieu-Du-Parc,Mauricie,3,1,1,1,1 213 pi²,,"2 278,00 $","176,00 $","2 512,00 $","1 746,00 $"
"2114, rue des Potentilles",480 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,1,1,2,1 145 pi²,,"3 097,00 $","262,00 $","804,00 $","862,00 $"
"1695, rue du Fraisier",399 000 $,Drummondville (Drummondville),Centre-du-Québec,4,,,1,951.72 pi²,,"2 394,50 $","196,74 $","1 320,00 $","689,00 $"
"996a, rue Ronsard",475 000 $,Deux-Montagnes,Laurentides,3,1,1,2,1 200 pi²,,"2 974,01 $","239,36 $","1 400,00 $",
581-583 rue des Collégiens,379 900 $,Granby,Estrie,4,,,1,1 099 pi²,,,,,
"86, 18e Rue",516 000 $,Laval-des-Rapides,Laval,3,1,,1,966.28 pi²,,"3 112,16 $",,,
"148, rue du Grand-Ruisseau",449 900 $,Gatineau (Gatineau),Outaouais,2,1,1,2,1 319.98 pi²,,"3 342,68 $","224,57 $","1 835,64 $","1 251,36 $"
"1050, rang du Boulevard",450 000 $,St-Barthelemy,Lanaudière,4,1,1,2,3 146 pi²,,"2 044,31 $","170,40 $","1 029,50 $","2 027,40 $"
259 rue des Écoliers,549 000 $,Granby,Estrie,2,1,,1,,,,,,
"402-156, rue Gary-Carter",719 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,1,1,1,1 150 pi²,,"3 931,62 $","491,24 $","1 125,24 $",
"1336, rue d'Édimbourg",385 000 $,Val-Bélair,Québec Rive-Nord,4,,,1,898.79 pi²,,,,"1 900,00 $",
"17, rue Achille-Vanhée",449 900 $,Gatineau (Gatineau),Outaouais,4,1,1,2,1 283 pi²,,"2 771,45 $","120,00 $","1 000,00 $","1 200,00 $"
"1230, route du Lac Ouest",575 000 $,Alma,Saguenay-Lac-Saint-Jean,3,,1,1,2 100 pi²,,"2 450,00 $","700,00 $","800,00 $","1 750,00 $"
,485 000 $Prix de vente fourni par le vendeur à DuProprio.,St-Sauveur,Laurentides,2,1,1,2,1 672 pi²,,,,,
", chemin Maurais",129 500 $,Coaticook,Estrie,,,,,,,"300,00 $","22,00 $",,
"6269-6271-6273, rue des Écores",1 259 900 $,Rosemont / La Petite Patrie,Montréal / l'Île,5,,,,,,"5 456,97 $","699,85 $","3 000,00 $","3 132,00 $"
"., Rue Thouin - Domaine Boréal",85 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,,,,,
"332, rue Deneault",600 000 $,St-Philippe,Montérégie (Rive-Sud Montréal),3,,,1,1 025 pi²,,"3 406,16 $",,,
"254, rue Alexis",974 900 $,Napierville,Montérégie (Rive-Sud Montréal),5,1,,2,2 467 pi²,,"4 340,00 $","489,00 $","3 800,00 $","1 140,00 $"
"106 porteD-918, avenue Pierre-Dansereau",469 000 $,Terrebonne (Terrebonne),Lanaudière,2,1,1,1,1 270 pi²,,"3 565,37 $",,,
"440, 2e Rue",630 000 $,St-Zotique,Montérégie Ouest,2,1,1,2,1 352 pi²,,"2 921,20 $","344,73 $","1 299,42 $","610,40 $"
"16825, avenue Lusignan",638 900 $,St-Hyacinthe,Montérégie (Rive-Sud Montréal),4,,,2,2 575 pi²,,"3 089,91 $","314,61 $","1 788,84 $",
"207, rue Albert-Dumouchel",479 000 $,Drummondville (Drummondville),Centre-du-Québec,2,,,2,2 100 pi²,,"3 793,13 $","352,62 $","1 440,00 $",
"7, rue des Hirondelles",439 000 $,Lanoraie,Lanaudière,3,1,,1,,,"1 684,00 $","209,88 $","1 841,70 $",
"25, rue Lussier",1 995 000 $,Shefford,Estrie,4,,,1,5 516 pi²,,"7 553,02 $","972,38 $","5 052,00 $",
"16, rue des Ormes",820 000 $,St-Joachim-De-Shefford,Estrie,5,,1,2,1 950 pi²,,"2 293,48 $","341,26 $","1 925,00 $","1 550,00 $"
"3994, rue Louise-Fiset",990 000 $,Ste-Foy,Québec Rive-Nord,3,1,1,2,,,,,,
"1390, avenue du Buisson",550 000 $,Sillery,Québec Rive-Nord,3,,,2,1 600 pi²,,"4 142,00 $","382,00 $","2 338,00 $","650,00 $"
"2-9145, croissant du Louvre",420 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,2,1 116 pi²,,"1 914,03 $","240,10 $","952,91 $","805,68 $"
Rue des Buses,411 700 $,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),2,1,,1,1 072 pi²,,,,,
"557, avenue Murray",573 000 $,Montcalm,Québec Rive-Nord,3,,1,2,39.63x32.94 pi,,"4 290,81 $","378,17 $","2 389,65 $","657,00 $"
Domaine du Côteau,88 000 $,St-Gilles,Chaudière-Appalaches,,,,,,,,,,
"49, chemin de la Vallée",599 000 $,Stoneham,Québec Rive-Nord,3,1,1,2,3 264 pi²,,"3 300,00 $","360,00 $","2 500,00 $","1 500,00 $"
"717, chemin Pintendre",335 000 $,Pintendre,Québec Rive-Sud (Lévis),5,,,1,1 248.61 pi²,,"2 240,00 $","204,00 $","1 843,00 $",
"114-219, rue Maria",409 000 $,Le Sud-Ouest,Montréal / l'Île,1,1,,1,572 pi²,,"2 195,00 $",,"544,00 $",
"105-11, rue Saint-Laurent",425 000 $,Beauharnois (Beauharnois),Montérégie (Rive-Sud Montréal),2,1,,3,1 035 pi²,,"2 433,00 $","260,00 $","850,00 $",
"151, rue Asselin",243 000 $,St-Charles-De-Bellechasse,Chaudière-Appalaches,4,,1,2,1 209.11 pi²,,"2 426,55 $","158,21 $","1 080,00 $","840,00 $"
"109, rue Martin",345 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),4,,,1,870 pi²,,"2 350,00 $","191,45 $","1 874,04 $","1 160,95 $"
"93, rue de la Baronne",699 000 $,Stoke,Estrie,3,1,1,2,,,,,,
"432, rue du Lac-Noel",525 000 $,St-Colomban,Laurentides,3,,,1,1 155 pi²,,"2 289,73 $","257,72 $","1 681,96 $",
chemin Lyon,84 500 $,Barnston,Estrie,,,,,,,,,,
"422, rue Lessard",465 000 $,Lachute,Laurentides,6,,1,2,2 695 pi²,,"3 624,00 $","350,00 $","3 300,00 $","2 400,00 $"
Nom de rue à venir,296 550 $,Drummondville (Drummondville),Centre-du-Québec,2,1,,1,884 pi²,,,,,
rue Lepailleur,569 900 $,Chateauguay,Montérégie (Rive-Sud Montréal),3,1,1,2,1 382 pi²,,,,,
"1267, rue de Jouvence",439 000 $,Val-Bélair,Québec Rive-Nord,3,,1,1,1 089 pi²,,"3 216,00 $","274,00 $","222,00 $","751,00 $"
